agency_name,complaint_type,descriptor,location_type,incident_zip,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,resolution_description,community_board,bbl,borough,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,progress_duration,created_year,resolution_action_updated_year
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,DEAN STREET,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,DEAN STREET,,In Progress,,08 BROOKLYN,11216,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11355,SANFORD AVENUE,,,,,ADDRESS,FLUSHING,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,07 QUEENS,11355,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,CROTONA AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,ADDRESS,BRONX,CROTONA AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,06 BRONX,10457,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,REMSEN STREET,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,ADDRESS,BROOKLYN,REMSEN STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BROOKLYN,11201,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11355,SANFORD AVENUE,,,,,ADDRESS,FLUSHING,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,07 QUEENS,11355,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,CROTONA AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,ADDRESS,BRONX,CROTONA AVENUE,,Closed,The Police Department reviewed your complaint and provided additional information below.,06 BRONX,10457,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10471,MANHATTAN COLLEGE PARKWAY,HENRY HUDSON PARKWAY EAST,DELAFIELD AVENUE,HENRY HUDSON PARKWAY EAST,DELAFIELD AVENUE,ADDRESS,BRONX,MANHATTAN COLLEGE PARKWAY,,In Progress,,08 BRONX,10471,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10474,FAILE STREET,SENECA AVENUE,GARRISON AVENUE,SENECA AVENUE,GARRISON AVENUE,ADDRESS,BRONX,FAILE STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BRONX,10474,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11357,,,,22 AVENUE,149 STREET,INTERSECTION,QUEENS,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07 QUEENS,11357,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11216,BEDFORD AVENUE,PUTNAM AVENUE,JEFFERSON AVENUE,PUTNAM AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,BEDFORD AVENUE,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,03 BROOKLYN,11216,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11355,SANFORD AVENUE,,,,,ADDRESS,FLUSHING,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,07 QUEENS,11355,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,REMSEN STREET,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,ADDRESS,BROOKLYN,REMSEN STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BROOKLYN,11201,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10312,ARDEN AVENUE,NEDRA LANE,CORRELL AVENUE,NEDRA LANE,CORRELL AVENUE,ADDRESS,STATEN ISLAND,ARDEN AVENUE,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,03 STATEN ISLAND,10312,STATEN ISLAND,ONLINE,,STATEN ISLAND,Other,,,,,,,Less than a day,2024,2024
Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10034,9 AVENUE,W 207 ST,BEND,,,ADDRESS,NEW YORK,,,Open,,12 MANHATTAN,10034,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11249,DIVISION AVENUE,WYTHE AVENUE,BERRY STREET,WYTHE AVENUE,BERRY STREET,ADDRESS,BROOKLYN,DIVISION AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,01 BROOKLYN,11249,BROOKLYN,PHONE,,BROOKLYN,SUV,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11373,LAYTON STREET,BAXTER AVENUE,PETTIT AVENUE,BAXTER AVENUE,PETTIT AVENUE,ADDRESS,ELMHURST,LAYTON STREET,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04 QUEENS,11373,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11355,SANFORD AVENUE,,,,,ADDRESS,FLUSHING,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,07 QUEENS,11355,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,10027,WEST  128 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  128 STREET,,In Progress,,09 MANHATTAN,10027,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11435,143 STREET,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,JAMAICA,143 STREET,,Closed,The Police Department issued a summons in response to the complaint.,12 QUEENS,11435,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,METROPOLITAN AVENUE,LINDEN DRIVE,PURDY STREET,LINDEN DRIVE,PURDY STREET,ADDRESS,BRONX,METROPOLITAN AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,09 BRONX,10462,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10003,1 AVENUE,EAST   19 STREET,EAST   20 STREET,EAST   19 STREET,EAST   20 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,06 MANHATTAN,10003,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11355,SANFORD AVENUE,,,,,ADDRESS,FLUSHING,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,07 QUEENS,11355,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10453,SEDGWICK AVENUE,WEST  179 STREET,HALL OF FAME TERRACE,WEST  179 STREET,HALL OF FAME TERRACE,ADDRESS,BRONX,SEDGWICK AVENUE,,In Progress,,05 BRONX,10453,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Disorderly Youth,Playing in Unsuitable Place,Street/Sidewalk,10027,MOUNT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,,Closed,The Police Department responded to the complaint and took action to fix the condition.,11 MANHATTAN,10027,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,REMSEN STREET,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,ADDRESS,BROOKLYN,REMSEN STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BROOKLYN,11201,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,WEST  126 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  126 STREET,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10 MANHATTAN,10027,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10455,EAST  146 STREET,BROOK AVENUE,ST ANNS AVENUE,BROOK AVENUE,ST ANNS AVENUE,ADDRESS,BRONX,EAST  146 STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,01 BRONX,10455,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11221,GATES AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,03 BROOKLYN,11221,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11221,GATES AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,03 BROOKLYN,11221,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10031,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10031,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10031,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10031,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10031,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10031,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,EAST  223 STREET,BRONXWOOD AVENUE,PAULDING AVENUE,BRONXWOOD AVENUE,PAULDING AVENUE,ADDRESS,BRONX,EAST  223 STREET,,In Progress,,12 BRONX,10466,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,REMSEN STREET,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,ADDRESS,BROOKLYN,REMSEN STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BROOKLYN,11201,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11232,27 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,27 STREET,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07 BROOKLYN,11232,BROOKLYN,PHONE,,BROOKLYN,Car,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,GENERAL,MAILBOX,RESIDENTIAL BUILDING,11213,PRESIDENT STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11213,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11367,72 ROAD,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 QUEENS,11367,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10040,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,,In Progress,,12 MANHATTAN,10040,MANHATTAN,ONLINE,,MANHATTAN,SUV,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10457,RYER AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,05 BRONX,10457,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11212,TAPSCOTT STREET,,,,,ADDRESS,BROOKLYN,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,16 BROOKLYN,11212,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11214,BATH AVENUE,BAY   47 STREET,28 AVENUE,BAY   47 STREET,28 AVENUE,ADDRESS,BROOKLYN,BATH AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,13 BROOKLYN,11214,BROOKLYN,PHONE,,BROOKLYN,Truck,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11419,LIBERTY AVENUE,,,,,ADDRESS,SOUTH RICHMOND HILL,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 QUEENS,11419,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10468,SEDGWICK AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 BRONX,10468,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10040,ST NICHOLAS AVENUE,WEST  189 STREET,WEST  190 STREET,WEST  189 STREET,WEST  190 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,,In Progress,,12 MANHATTAN,10040,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,,In Progress,,12 MANHATTAN,10040,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,REMSEN STREET,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,BROOKLYN HEIGHTS PROMENADE,MONTAGUE TERRACE,ADDRESS,BROOKLYN,REMSEN STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BROOKLYN,11201,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10014,CORNELIA STREET,WEST    4 STREET,BLEECKER STREET,WEST    4 STREET,BLEECKER STREET,ADDRESS,NEW YORK,CORNELIA STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 MANHATTAN,10014,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,10017,TUDOR CITY PLACE,EAST   41 STREET,TUDOR CITY PLACE,EAST   41 STREET,TUDOR CITY PLACE,INTERSECTION,,,,In Progress,,06 MANHATTAN,10017,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11238,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 BROOKLYN,11238,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11237,HART STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,04 BROOKLYN,11237,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10065,MADISON AVENUE,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 MANHATTAN,10065,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10458,MARION AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,07 BRONX,10458,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10467,WALLACE AVENUE,WARING AVE,MACE AVE,,,ADDRESS,BRONX,,,Open,,11 BRONX,10467,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10027,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10027,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,,In Progress,,12 MANHATTAN,10040,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,WASHINGTON AVENUE,,,,,ADDRESS,BRONX,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,06 BRONX,10457,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,46 STREET,48 AVENUE,50 AVENUE,48 AVENUE,50 AVENUE,ADDRESS,WOODSIDE,46 STREET,,Closed,The Police Department issued a summons in response to the complaint.,02 QUEENS,11377,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,11377,41 AVENUE,72 STREET,73 STREET,72 STREET,73 STREET,ADDRESS,WOODSIDE,41 AVENUE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04 QUEENS,11377,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,BARTHOLDI STREET,BARTHOLDI STREET,CRUGER AVENUE,BARTHOLDI STREET,CRUGER AVENUE,INTERSECTION,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,12 BRONX,10467,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11219,FT HAMILTON PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 BROOKLYN,11219,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10472,GLEASON AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BRONX,10472,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10472,GLEASON AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BRONX,10472,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
